Subcallosal.Gyrus:double,Transverse.Temporal.Gyrus:double,Rectal.Gyrus:double,Fusiform.Gyrus:double,Inferior.Occipital.Gyrus:double,Inferior.Temporal.Gyrus:double,Parahippocampal.Gyrus:double,Lingual.Gyrus:double,Middle.Occipital.Gyrus:double,Orbital.Gyrus:double,Middle.Temporal.Gyrus:double,Superior.Temporal.Gyrus:double,Superior.Occipital.Gyrus:double,Precentral.Gyrus:double,Inferior.Frontal.Gyrus:double,Angular.Gyrus:double,Supramarginal.Gyrus:double,Cingulate.Gyrus:double,Middle.Frontal.Gyrus:double,Postcentral.Gyrus:double,Superior.Frontal.Gyrus:double,Medial.Frontal.Gyrus:double
-3.3135054029174,8.82001557657928,-0.794639641941359,-1.59886351779144,-9.04478213772512,-4.12878491566124,-2.83315693862556,-1.08225534928835,-5.37777755436013,0.434023757049623,-3.10932741555701,-0.525643126295258,-18.7308954915023,8.9046099305174,4.92326159330845,-10.1701977042551,3.29484354088079,5.55311038958901,3.0381859148473,6.3221508032596,3.97171792785611,0.901426621183926
-3.66041809084623,6.25777285792599,-0.430434051443,-5.10996166313178,-2.66296493772459,-2.81913663949206,-7.9710525494872,-6.78076875888828,3.16383956490925,-0.689622826093482,-3.17743043989038,-2.06410419339857,-7.51344577758747,8.21132279130241,-0.0471072227256913,-6.89390136445962,4.26056674454854,5.17324926793261,0.162967876307424,7.06638355527016,2.23963577027462,-1.58751084677733
-4.24922131203421,10.3376034097043,-1.43762127639413,2.88982892507137,3.78835797001222,1.19605534362012,-4.08891102294972,-0.748342618839735,3.08471275890118,-2.110502437907,-2.94553133880843,-2.78264534715706,-13.9100665069063,9.53918321163758,2.75427969758865,-7.74940511082348,-3.14493783715915,1.17335560025993,0.768220793090037,6.4513426833385,0.647599328640163,-4.70765072121099
-5.68391506648141,1.33950723191424,-0.236401316794766,2.29050824681787,-0.280813414514624,-0.619208966324643,-3.42673235901289,-0.974976929143893,-3.62515797238498,-1.0732150783909,-3.7636301123106,-2.54126658757083,-22.8307576794586,4.57819119152273,4.15742235425112,-10.396708943347,-6.64167020424344,-1.8565706134284,1.34394466519559,0.5170281874636,0.795608602952442,-6.36899300211671
-4.77349935418778,1.61348432455564,0.256725827355102,0.572076302107965,0.579520908694928,0.773070430673414,-1.09451655767709,0.619328310200552,-1.5657726289487,-0.525260747545236,2.39827323960263,2.0000320853605,-6.18551929524434,0.47834673095818,6.80232074726185,3.0241871379702,-1.29963035670314,-1.83652937313292,2.39013949262363,-0.986559932353605,1.71366359321188,-4.15153768949487
-5.50197417515334,-0.230465312371556,-0.743039843944526,-2.40546690905844,-3.45063906035928,-0.555106465385586,-4.14226361894226,-4.52542690080726,-2.80713121079014,-1.12013944536996,0.100178716931657,-0.0787493283631639,-16.1443513542638,-3.30035017005603,4.91897487662107,2.86328313312778,-7.05881829453922,-2.02652067885292,-1.1131947246256,-4.18942167611323,0.63176429941803,-4.15528478334536
-5.15233952937804,1.47765832113271,-0.61299833069365,-2.18212138668131,-4.35129332167727,-0.129739654501599,-0.759973542808246,-1.13924256216733,-1.76923371790959,-0.346551171865095,2.1520863196762,1.67238917125778,-12.2472538565168,-0.867899511520259,4.95738474232816,0.200579042126122,-5.60923401775127,-0.366544530589368,-0.816057986551957,-0.981557043815599,3.12991072157129,0.889765716331795
-4.06359541686197,1.25785522506865,-0.987449632892279,-2.41788713076074,-4.20244187525875,0.254170863325303,-2.987646329275,-1.94211867387948,-3.45208015030661,0.160904072969363,0.00399604783629448,-0.686552415776041,-5.71422680200334,-1.46430129343429,2.1275503443836,-2.58392513503535,-8.41087752633933,-4.0666009283414,-1.00845029315586,-1.37296603546048,-0.721897140328421,-2.47638619046321
-4.30974183760507,-0.179874600563923,-0.999393750540403,-0.602764141296715,-3.54408472110389,-0.555374911904811,-2.28528197834256,-0.584055235943341,-3.52567050798127,0.547326289133402,-1.84409209858805,-0.415574089465073,-12.8552701907233,1.79044448420177,3.95947168278736,-7.48022939835595,-6.70374882030362,-4.92668987210919,2.50962835556296,-0.473648651047995,-0.143659286281344,-3.57374050373055
-4.64177879160732,0.464468844234942,-2.51353068363802,1.47324758171079,0.193778140787229,-0.459376980192006,-1.8528804900112,1.6549477516409,-0.890004790933883,-1.31958452337295,0.38782188040337,0.115324150190563,-11.700384022677,0.00633782138803318,2.27314875753938,-5.95833374783617,-1.39784789964357,-5.39681136189301,1.90817795960457,-0.513604890578167,0.114624283712743,-5.39229722347046
-3.2167062788688,-2.69911444053463,-0.104760432185137,1.73014803826184,-2.02885328958512,-0.660835341536145,-1.41044186428049,4.37489028887268,-1.28508299916423,0.35517163545029,-0.980262015189744,-1.30385769680871,-6.69956829786395,-1.45662128187536,1.37858156863962,-6.28823818347576,-2.78317476435958,-5.42696539769269,-0.202801481031342,-0.872834754051103,-0.627046430346222,-5.63205634968229
-2.18452429938943,-1.78062445487276,0.0373170038182481,1.1079372283565,-5.79197901222133,0.264250004062522,-1.26796610115084,3.0957723757529,-4.31090513267246,0.0628947656031228,-1.27834378536732,-0.623119630462944,-9.01282301628484,-0.178432825588805,3.05577011608803,-7.60994270527505,-6.06972941445169,-4.83715197950839,-0.713309966344432,3.10866175853351,0.681328571541715,-2.51301788236676
-2.16823285316926,-1.22006119877928,-0.193898375627866,1.07661515199434,-8.09559902712117,-0.775120943395896,-2.13545320062205,0.117594012280837,-4.96747119145833,-0.950915132914448,-1.42642343012897,-0.732461650772461,-12.4601481779389,-0.309096809751929,1.97471439988492,-11.5734473132337,-11.7275118499197,-6.40737110733984,-3.38334749633469,1.91088464717568,0.529749289376561,-0.955181821523257
-1.24083194020827,-0.817424672254371,-0.947806570523478,1.16618180917601,-3.07971333428473,-0.257948183911216,1.74709683730588,2.85035519845679,-0.714781175521879,-0.38305806010243,0.26549905052468,-1.09188375773707,-3.13154378282686,1.52138676563516,0.485414420029746,-4.6087520073517,-7.75652207076407,-1.27762278118738,-2.35291407100244,3.72383391187501,1.08821572315839,0.991451832847581
-3.04332156050644,-2.34271487529779,-1.68270758086859,-0.0533628000990034,-2.89432193371188,-1.8942317174837,2.66968401263312,-0.835944065719343,-3.78283508486336,0.784165984039179,-0.402576343405969,-1.93138595135657,3.11299016905175,-0.63698209942759,-3.02212982347694,2.66414321237076,-5.06676007698419,1.09209299894941,-0.792009690347528,2.31750955263195,2.27672787288728,0.596883080746417
-1.14270171406381,-8.23593180790981,1.2660985933368,0.447981324169274,-5.3094248254026,-1.01897154411327,3.51230832535934,-2.20130378024733,-5.58163291948262,1.26915699951038,-0.270649611921058,-3.73096823163142,10.4334536776967,0.785796595059762,-5.20791833063567,8.94523834593397,-1.17822586858051,4.41177623307011,1.19936564563013,0.00191156944597431,3.32528573856301,1.62111192217279
-1.52097240088036,-3.37707547009032,-0.7944880479073,2.57021418198138,-2.01502200935718,-0.917167663799791,1.27496977548476,-1.48572394512741,-2.01117467937953,-0.856185013688819,-1.38872075502031,-2.92063059856124,10.1698467431085,2.51972284909723,-4.83195110144599,5.38453339333735,-0.990919445552646,4.47142692117469,2.05121193693061,1.72703996231782,0.843889320185719,-0.315861642872956
-2.11813362095608,-3.10614586183924,-1.19846750460091,6.56333577333687,4.90888651442469,1.18017992345653,-0.942331636990941,-1.42920456035935,2.9385396354459,0.61253994444158,-2.7467897727042,-1.50037305214602,5.13216936528643,3.88479666268499,-2.31422813590796,-3.96797164541847,-3.22484080790041,1.73104506326363,1.7435291835537,1.37289473124668,-0.847461382244662,-0.934037614391304
